ts_utc,container,cpu_pct,mem_bytes,mem_pct,host
2026-09-20T23:23:48Z,egw-ditto-gateway-1,27.14,554184704,68.82,egw-qemu-integrated
2026-09-20T23:23:48Z,egw-ditto-policies-1,11.39,533176320,66.21,egw-qemu-integrated
2026-09-20T23:23:48Z,egw-controller-1,1.27,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:48Z,egw-mosquitto-1,0.19,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:49Z,egw-ditto-things-1,29.29,534876160,66.42,egw-qemu-integrated
2026-09-20T23:23:49Z,egw-mongodb-1,2.76,254742528,47.45,egw-qemu-integrated
2026-09-20T23:23:49Z,egw-ditto-gateway-1,136.91,554287104,68.83,egw-qemu-integrated
2026-09-20T23:23:49Z,egw-ditto-policies-1,15.98,533180416,66.21,egw-qemu-integrated
2026-09-20T23:23:49Z,egw-controller-1,1.13,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:49Z,egw-mosquitto-1,0.24,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:50Z,egw-ditto-things-1,40.18,534622208,66.39,egw-qemu-integrated
2026-09-20T23:23:50Z,egw-mongodb-1,2.32,254742528,47.45,egw-qemu-integrated
2026-09-20T23:23:50Z,egw-ditto-gateway-1,32.43,554307584,68.83,egw-qemu-integrated
2026-09-20T23:23:50Z,egw-ditto-policies-1,33.13,533225472,66.21,egw-qemu-integrated
2026-09-20T23:23:50Z,egw-controller-1,1.17,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:50Z,egw-mosquitto-1,0.14,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:51Z,egw-ditto-things-1,13.92,534630400,66.39,egw-qemu-integrated
2026-09-20T23:23:51Z,egw-mongodb-1,2.20,254742528,47.45,egw-qemu-integrated
2026-09-20T23:23:51Z,egw-ditto-gateway-1,21.46,554311680,68.83,egw-qemu-integrated
2026-09-20T23:23:51Z,egw-ditto-policies-1,31.20,533233664,66.22,egw-qemu-integrated
2026-09-20T23:23:51Z,egw-controller-1,0.95,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:51Z,egw-mosquitto-1,0.11,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:52Z,egw-ditto-things-1,30.93,534650880,66.39,egw-qemu-integrated
2026-09-20T23:23:52Z,egw-mongodb-1,5.09,254738432,47.45,egw-qemu-integrated
2026-09-20T23:23:52Z,egw-ditto-gateway-1,42.17,554405888,68.84,egw-qemu-integrated
2026-09-20T23:23:52Z,egw-ditto-policies-1,20.54,533254144,66.22,egw-qemu-integrated
2026-09-20T23:23:52Z,egw-controller-1,1.02,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:52Z,egw-mosquitto-1,0.13,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:53Z,egw-ditto-things-1,14.93,534642688,66.39,egw-qemu-integrated
2026-09-20T23:23:53Z,egw-mongodb-1,1.85,255000576,47.50,egw-qemu-integrated
2026-09-20T23:23:53Z,egw-ditto-gateway-1,11.82,554409984,68.84,egw-qemu-integrated
2026-09-20T23:23:53Z,egw-ditto-policies-1,9.39,533254144,66.22,egw-qemu-integrated
2026-09-20T23:23:53Z,egw-controller-1,0.82,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:53Z,egw-mosquitto-1,0.13,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:54Z,egw-ditto-things-1,12.50,534638592,66.39,egw-qemu-integrated
2026-09-20T23:23:54Z,egw-mongodb-1,2.86,254738432,47.45,egw-qemu-integrated
2026-09-20T23:23:54Z,egw-ditto-gateway-1,18.11,554676224,68.88,egw-qemu-integrated
